,full_address,home_link
15,"12415 Imperial Hwy Unit 21, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/12415-Imperial-Hwy-90650/unit-21/home/7760014
16,"12309 Cheshire St Unit C, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/12309-Cheshire-St-90650/unit-C/home/8112268
17,"12259 Foster Rd #30, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/12259-Foster-Rd-90650/unit-30/home/7779901
18,"12259 Foster Rd Unit FOSTER, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/12259-Foster-Rd-90650/unit-FOSTER/home/146037792
19,"12814 Sycamore Village Dr, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/12814-Sycamore-Village-Dr-90650/unit-40/home/7774836
20,"11457 1/2 Excelsior Dr, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/11437-1-2-Excelsior-Dr-90650/home/7787421
0,"6440 S Mozart St, Chicago, IL 60629",https://www.redfin.com/IL/Chicago/6440-S-Mozart-St-60629/home/13988202
1,"7258 S Campbell Ave, Chicago, IL 60629",https://www.redfin.com/IL/Chicago/7258-S-Campbell-Ave-60629/home/13985813
2,"6432 S Washtenaw Ave, Chicago, IL 60629",https://www.redfin.com/IL/Chicago/6432-S-Washtenaw-Ave-60629/home/13987961
3,"3639 W 57th St, Chicago, IL 60629",https://www.redfin.com/IL/Chicago/3639-W-57th-St-60629/home/14010556
4,"3548 W 65th St, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/3548-W-65th-St-60629/home/13988971
5,"5838 S Maplewood Ave, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/5838-S-Maplewood-Ave-60629/home/14013407
6,"6338 S Talman Ave, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/6338-S-Talman-Ave-60629/home/13988447
7,"5757 S Sacramento Ave, Chicago, IL 60629",https://www.redfin.com/IL/Chicago/5757-S-Sacramento-Ave-60629/home/14015349
8,"6340 S ROCKWELL St, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/6340-S-Rockwell-St-60629/home/13988173
9,"4135 W 59th St, Chicago, IL 60629",https://www.redfin.com/IL/Chicago/4135-W-59th-St-60629/home/14004875
10,"5712 S Mozart St, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/5712-S-Mozart-St-60629/home/14015515
11,"7339 S Washtenaw Ave, Chicago, IL 60629",https://www.redfin.com/IL/Chicago/7339-S-Washtenaw-Ave-60629/home/13986274
12,"3918 W 66th St, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/3918-W-66th-St-60629/home/13991362
13,"3418 W 61st St, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/3418-W-61st-St-60629/home/14008003
14,"7218 S Richmond St, Chicago, IL 60629",https://www.redfin.com/IL/Chicago/7218-S-Richmond-St-60629/home/13985538
15,"6715 S Kolin Ave, Chicago, IL 60629",https://www.redfin.com/IL/Chicago/6715-S-Kolin-Ave-60629/home/13993100
16,"7151 S Richmond St, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/7151-S-Richmond-St-60629/home/13985687
17,"2643 W 69th St, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/2643-W-69th-St-60629/home/13987631
18,"6518 S MOZART St, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/6518-S-Mozart-St-60629/home/13988831
19,"3448 W 72ND Pl, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/3448-W-72nd-Pl-60629/home/12573821
0,"5914 S Kedzie Ave #7, Chicago, IL 60629",https://www.redfin.com/IL/Chicago/5914-S-Kedzie-Ave-60629/unit-7/home/39948248
1,"4158 W 58th Pl, Chicago, IL 60629",https://www.redfin.com/IL/Chicago/4158-W-58th-Pl-60629/home/14005995
2,"3900 W 63rd St #4, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/3900-W-63rd-St-60629/unit-4/home/14009728
3,"5648 S Kolmar Ave #1, Chicago, IL 60629",https://www.redfin.com/IL/Chicago/5648-S-Kolmar-Ave-60629/unit-1/home/14008352
4,"4550 W 57th St Unit 2D1, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/4550-W-57th-St-60629/unit-2D1/home/144096181
5,"3900 W 63rd St #3, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/3900-W-63rd-St-60629/unit-3/home/14009729
6,"4550 W 57th St Unit 1C1, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/4550-W-57th-St-60629/unit-1C1/home/14006570
7,"4037 W 58th St, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/4037-W-58th-St-60629/home/14006644
8,"5602 S Kenneth Ave, Chicago, IL 60629",https://www.redfin.com/IL/Chicago/5602-S-Kenneth-Ave-60629/home/14008581
9,"6207 S Knox Ave Unit H, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/6207-S-Knox-Ave-60629/unit-H/home/14007630
10,"3200 W 66th Pl Unit 2C, Chicago, IL 60629",https://www.redfin.com/IL/Chicago/3200-W-66th-Pl-60629/unit-2C/home/13990227
0,"3200 W 66th Pl Unit 2C, Chicago, IL 60629",https://www.redfin.com/IL/Chicago/3200-W-66th-Pl-60629/unit-2C/home/13990227
1,"6207 S Knox Ave Unit H, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/6207-S-Knox-Ave-60629/unit-H/home/14007630
2,"5602 S Kenneth Ave, Chicago, IL 60629",https://www.redfin.com/IL/Chicago/5602-S-Kenneth-Ave-60629/home/14008581
3,"4037 W 58th St, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/4037-W-58th-St-60629/home/14006644
4,"4550 W 57th St Unit 1C1, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/4550-W-57th-St-60629/unit-1C1/home/14006570
5,"3900 W 63rd St #3, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/3900-W-63rd-St-60629/unit-3/home/14009729
6,"4550 W 57th St Unit 2D1, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/4550-W-57th-St-60629/unit-2D1/home/144096181
7,"5648 S Kolmar Ave #1, Chicago, IL 60629",https://www.redfin.com/IL/Chicago/5648-S-Kolmar-Ave-60629/unit-1/home/14008352
8,"3900 W 63rd St #4, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/3900-W-63rd-St-60629/unit-4/home/14009728
9,"4158 W 58th Pl, Chicago, IL 60629",https://www.redfin.com/IL/Chicago/4158-W-58th-Pl-60629/home/14005995
10,"5914 S Kedzie Ave #7, Chicago, IL 60629",https://www.redfin.com/IL/Chicago/5914-S-Kedzie-Ave-60629/unit-7/home/39948248
0,"725 E Morelos Ct, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/725-E-Morelos-Ct-85225/home/28360844
1,"381 W Frye Rd Unit A, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/381-W-Frye-Rd-85225/unit-A/home/27067580
2,"398 W FAIRVIEW St, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/398-W-Fairview-St-85225/home/27331275
3,"867 N Senate St, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/867-N-Senate-St-85225/home/27848491
4,"13421 E LAURELWOOD Dr, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/13421-E-Laurelwood-Dr-85225/home/146441808
5,"619 E Commonwealth Pl, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/619-E-Commonwealth-Pl-85225/home/27066599
6,"130 S CALIFORNIA St, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/130-S-California-St-85225/home/27372142
7,"329 S OREGON St, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/329-S-Oregon-St-85225/home/27949928
8,"472 W JASPER Dr, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/472-W-Jasper-Dr-85225/home/27847073
9,"101 W Ray Rd, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/101-W-Ray-Rd-85225/home/27554314
10,"428 W DETROIT St, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/428-W-Detroit-St-85225/home/27788175
11,"849 N Oregon St, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/849-N-Oregon-St-85225/home/28035270
