,city,tot_act_pend,num_pgs,,city,,,,
287,San Bernardino CA,773,31,31,San,Bernardino,CA,,"San Bernardino, CA"
294,Silver Spring MD,760,31,31,Silver,Spring,MD,,"Silver Spring, MD"
67,Hialeah FL,749,30,30,Hialeah,FL,,,"Hialeah, FL"
108,Providence RI,746,30,30,Providence,RI,,,"Providence, RI"
159,Gulfport MS,737,30,30,Gulfport,MS,,,"Gulfport, MS"
250,Stamford CT,737,30,30,Stamford,CT,,,"Stamford, CT"
42,Rochester NY,724,29,29,Rochester,NY,,,"Rochester, NY"
53,Laredo TX,708,29,29,Laredo,TX,,,"Laredo, TX"
244,Jersey City NJ,721,29,29,Jersey,City,NJ,,"Jersey City, NJ"
145,Alexandria VA,697,28,28,Alexandria,VA,,,"Alexandria, VA"
202,Fort Smith AR,676,28,28,Fort,Smith,AR,,"Fort Smith, AR"
38,Glendale AZ,663,27,27,Glendale,AZ,,,"Glendale, AZ"
85,Joliet IL,663,27,27,Joliet,IL,,,"Joliet, IL"
90,Renton WA,663,27,27,Renton,WA,,,"Renton, WA"
128,Warren MI,654,27,27,Warren,MI,,,"Warren, MI"
139,Erie PA,666,27,27,Erie,PA,,,"Erie, PA"
180,Garland TX,654,27,27,Garland,TX,,,"Garland, TX"
205,Augusta GA,652,27,27,Augusta,GA,,,"Augusta, GA"
282,Tyler TX,652,27,27,Tyler,TX,,,"Tyler, TX"
2,Richmond VA,643,26,26,Richmond,VA,,,"Richmond, VA"
29,Ann Arbor MI,633,26,26,Ann,Arbor,MI,,"Ann Arbor, MI"
35,Lakeland FL,647,26,26,Lakeland,FL,,,"Lakeland, FL"
43,South Bend IN,637,26,26,South,Bend,IN,,"South Bend, IN"
114,Bloomington IN,629,26,26,Bloomington,IN,,,"Bloomington, IN"
117,Bridgeport CT,638,26,26,Bridgeport,CT,,,"Bridgeport, CT"
186,Irving TX,645,26,26,Irving,TX,,,"Irving, TX"
228,Henrico VA,632,26,26,Henrico,VA,,,"Henrico, VA"
265,Anaheim CA,638,26,26,Anaheim,CA,,,"Anaheim, CA"
17,Huntington Beach CA,611,25,25,Huntington,Beach,CA,,"Huntington Beach, CA"
32,Champaign IL,617,25,25,Champaign,IL,,,"Champaign, IL"
44,Elgin IL,620,25,25,Elgin,IL,,,"Elgin, IL"
61,Salt Lake City UT,601,25,25,Salt,Lake,City,UT,"Salt Lake City, UT"
69,Worcester MA,607,25,25,Worcester,MA,,,"Worcester, MA"
78,Waco TX,624,25,25,Waco,TX,,,"Waco, TX"
91,Fargo ND,612,25,25,Fargo,ND,,,"Fargo, ND"
143,Bismarck ND,620,25,25,Bismarck,ND,,,"Bismarck, ND"
204,Cheyenne WY,606,25,25,Cheyenne,WY,,,"Cheyenne, WY"
296,Jackson MS,607,25,25,Jackson,MS,,,"Jackson, MS"
1,Bellevue WA,594,24,24,Bellevue,WA,,,"Bellevue, WA"
164,Hamilton OH,590,24,24,Hamilton,OH,,,"Hamilton, OH"
