RegionName,City,State,CountyName,name,SizeRank,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
85120,Apache-Junction,AZ,Pinal,Apache-Junction-AZ-85120,1778,177950,181000,183950,182900,179250,182995,182900,192950,191700,195000,195440,200000
85302,Glendale,AZ,Maricopa,Glendale-AZ-85302,1809,199500,199990,200000,202900,205000,205250,203999.5,205000,214500,224949.5,227000,230000
85286,Chandler,AZ,Maricopa,Chandler-AZ-85286,1811,360000,365000,369500,369950,366950,369000,368000,375000,385000,380000,369500,368750
85086,Anthem,AZ,Maricopa,Anthem-AZ-85086,1858,359900,357000,367500,369000,369949.5,385000,388250,389900,389000,385000,385000,379950
85210,Mesa,AZ,Maricopa,Mesa-AZ-85210,1868,195000,189000,189000,199000,195000,189000,189900,195900,205000,199900,209999,219900
85035,Phoenix,AZ,Maricopa,Phoenix-AZ-85035,1922,164800,164999,160000,160000,160000,164900,165500,167000,168000,170750,179900,175000
86004,Flagstaff,AZ,Coconino,Flagstaff-AZ-86004,1959,369900,374900,374949.5,375000,375000,385000,395000,418000,419450,399900,419450,415000
86442,Bullhead-City,AZ,Mohave,Bullhead-City-AZ-86442,1965,177500,175000,177500,175500,177750,174900,174900,192500,199000,199000,199000,189000
85614,Green-Valley,AZ,Pima,Green-Valley-AZ-85614,2070,169900,174950,175000,179450,184900,185975,188950,179900,179000,184950,190400,192750
85042,Phoenix,AZ,Maricopa,Phoenix-AZ-85042,2144,250000,245000,248990,243000,245000,242900,240000,241245,235900,239000,242900,249000
85718,Catalina-Foothills,AZ,Pima,Catalina-Foothills-AZ-85718,2144,529500,498250,524000,550000,571250,549950,559900,549750,550000,539900,539900,542450
85037,Phoenix,AZ,Maricopa,Phoenix-AZ-85037,2174,183000,185499.5,184925,183900,187000,189400,190000,189800,189000,189900,190000,194000
85379,Surprise,AZ,Maricopa,Surprise-AZ-85379,2177,259995,258990,259900,258990,258990,259381.5,259900,260000,260000,259900,259950,260990
85257,Scottsdale,AZ,Maricopa,Scottsdale-AZ-85257,2185,324500,329000,330000,329900,325000,329000,329638.5,337000,334999.5,332000,334999.5,334999
85233,Gilbert,AZ,Maricopa,Gilbert-AZ-85233,2188,291000,299900,304900,299900,299900,300000,299318.5,303250,300000,299900,300000,309900
85746,Tucson,AZ,Pima,Tucson-AZ-85746,2293,161250,160000,165000,165000,166200,167031,165000,165000,168200,175000,170000,169900
85138,Maricopa,AZ,Pinal,Maricopa-AZ-85138,2308,199999,204900,199995,207945,207990,210495,210000,212000,214500,217495,219940,220000
85023,Phoenix,AZ,Maricopa,Phoenix-AZ-85023,2341,250000,249900,258500,250000,249900,249950,250000,256000,259954,278000,269700,262495
85213,Mesa,AZ,Maricopa,Mesa-AZ-85213,2365,349000,353000,352500,349900,357250,359700,369900,350000,355000,375000,368450,369450
85367,Yuma,AZ,Yuma,Yuma-AZ-85367,2393,219000,215000,212900,214700,214900,209000,199900,219250,218250,219900,216950,219500
85741,Tucson,AZ,Pima,Tucson-AZ-85741,2437,189900,198500,199900,198250,197750,197500,199900,200000,202500,205000,199900,200000
85339,Phoenix,AZ,Maricopa,Phoenix-AZ-85339,2467,235000,239900,244499,239900,239900,243795,240000,239947.5,242620,239450,241812,243950
85258,Scottsdale,AZ,Maricopa,Scottsdale-AZ-85258,2482,500000,515000,502450,521000,509900,509000,497950,505000,499900,499500,500000,499388.5
85048,Phoenix,AZ,Maricopa,Phoenix-AZ-85048,2513,365000,365000,361500,356425,352499.5,364900,372500,372000,374900,368000,369450,369999
85323,Avondale,AZ,Maricopa,Avondale-AZ-85323,2625,205000,209900,208825,213000,214900,217990,214900,215000,218990,214950,215500,218495
85014,Phoenix,AZ,Maricopa,Phoenix-AZ-85014,2648,290500,308000,318944,314500,325000,324450,315000,329900,330950,329900,330000,339900
85143,San-Tan-Valley,AZ,Pinal,San-Tan-Valley-AZ-85143,2675,206990,204949.5,205995,209245,206990,210000,209650,213000,215000,215000,215000,215000
86001,Flagstaff,AZ,Coconino,Flagstaff-AZ-86001,2677,392500,425000,395066.5,390000,399626,390000,393500,397000,399306.5,445000,435000,427000
85203,Mesa,AZ,Maricopa,Mesa-AZ-85203,2781,249950,253950,250000,259200,246250,249000,249950,254950,259666,255000,267250,257000
85268,Fountain-Hills,AZ,Maricopa,Fountain-Hills-AZ-85268,2787,514950,515000,497450,489900,489000,489900,492400,499000,499900,499900,499900,529000
85392,Avondale,AZ,Maricopa,Avondale-AZ-85392,2832,224900,225000,229900,229900,230000,229900,230000,236950,241000,239925,249900,253167.5
85050,Phoenix,AZ,Maricopa,Phoenix-AZ-85050,2875,360000,358000,349900,339900,335700,359999,395000,384900,399899,384900,388000,385000
85750,Tucson,AZ,Pima,Tucson-AZ-85750,2905,374999.5,384500,399450,425000,415000,419000,390000,389000,399000,419000,437450,432500
85009,Phoenix,AZ,Maricopa,Phoenix-AZ-85009,2907,139900,140000,145000,144900,139900,144500,135000,139900,149900,150000,155000,168900
85140,Queen-Creek,AZ,Pinal,Queen-Creek-AZ-85140,2917,235000,239220,240745,239945,246000,243000,243247.5,244990,249844,249900,253745,253700
85298,Gilbert,AZ,Maricopa,Gilbert-AZ-85298,2979,385000,399733,399900,390000,390000,389900,400733,400995,419500,419500,417919,419700
86406,Lake-Havasu-City,AZ,Mohave,Lake-Havasu-City-AZ-86406,2990,338350,320000,319000,319000,315000,323000,339900,319900,324450,329000,329000,339000
85395,Goodyear,AZ,Maricopa,Goodyear-AZ-85395,3019,329000,340000,342450,339000,334445,340000,339000,340000,345995,349900,349000,349900
85212,Mesa,AZ,Maricopa,Mesa-AZ-85212,3126,304990,306035,309992.5,309990,309000,309450,312450,319900,320990,329450,326990,335000
85743,Marana,AZ,Pima,Marana-AZ-85743,3310,252500,255000,254950,259900,259900,260000,247000,225000,240000,239000,247499.5,247000
85331,Phoenix,AZ,Maricopa,Phoenix-AZ-85331,3315,522499.5,547000,539500,539450,549000,569900,579900,574000,559950,559300,565000,549800
85017,Phoenix,AZ,Maricopa,Phoenix-AZ-85017,3406,159999,162900,158950,148950,160000,154950,159950,169900,172900,170000,170000,174900
85053,Phoenix,AZ,Maricopa,Phoenix-AZ-85053,3457,214900,212900,214450,217000,219000,219900,215000,219900,219500,230000,235000,235000
85349,San-Luis,AZ,Yuma,San-Luis-AZ-85349,3483,151900,135500,136000,145000,142000,139947.5,144000,145000,145000,145000,149000,149000
85541,Payson,AZ,Gila,Payson-AZ-85541,3507,314950,299900,299900,299900,299900,315000,325000,319500,315000,329500,339000,349950
86409,Kingman,AZ,Mohave,Kingman-AZ-86409,3527,150000,158000,157900,156400,158900,158900,158900,164900,165000,161600,163300,162700
86326,Cottonwood,AZ,Yavapai,Cottonwood-AZ-86326,3530,239900,239000,249900,256000,269444,257000,246000,249900,252000,249450,259000,259000
86301,Prescott,AZ,Yavapai,Prescott-AZ-86301,3536,368500,373028,375000,381000,380000,370900,368900,361900,371900,374950,369900,358900
85742,Tucson,AZ,Pima,Tucson-AZ-85742,3546,249900,247900,249000,249900,260995,259200,256490,250000,255000,249000,239900,245000
85353,Phoenix,AZ,Maricopa,Phoenix-AZ-85353,3702,205941,209900,210900,215000,216000,214900,211450,215000,218000,220000,224900,225000
